2026-04-27 10:57:47,806 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:47,975 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:48,217 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:48,385 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:48,645 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:48,809 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:49,047 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:49,215 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:49,438 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:49,601 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:49,844 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:50,014 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:50,608 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:50,815 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:51,410 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:51,582 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:52,164 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:52,321 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:53,025 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:53,254 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:53,880 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:54,045 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:54,649 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:54,849 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:55,150 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:55,366 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:55,757 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:55,937 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:56,207 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:56,388 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:56,690 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:56,860 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:57,099 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:57,262 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:57,554 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:57,728 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:57,991 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:58,157 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:58,440 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:58,614 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:59,225 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:59,389 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:00,019 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:00,190 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:00,806 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:00,971 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:01,552 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:01,718 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:02,332 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:02,500 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:03,092 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:03,257 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:03,806 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:03,837 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:04,302 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:04,339 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:04,624 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:04,661 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:04,916 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:04,951 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:05,172 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:05,204 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:05,416 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:05,443 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:05,629 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:05,657 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:05,851 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:05,880 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:06,379 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:06,405 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:06,926 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:06,954 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:07,452 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:07,479 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:08,008 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:08,035 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:08,571 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:08,598 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:09,165 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:09,191 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:09,405 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:09,436 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:09,719 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:09,754 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:09,820 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:09,852 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:09,953 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:09,984 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:10,065 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:10,102 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:10,197 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:10,228 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:10,319 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:10,350 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:10,462 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:10,493 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:10,969 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:10,998 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:11,502 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:11,541 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:12,067 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:12,105 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:12,640 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:12,675 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:13,224 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:13,257 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:13,823 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:13,860 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:13,979 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:14,021 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:14,160 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:14,197 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:14,254 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:14,290 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:58:14,365 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:58:14,401 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
