date,nav,acc_nav,daily_growth_pct,source
2021-09-23,1.253,3.764,-0.16,eastmoney
2021-09-24,1.269,3.78,1.28,eastmoney
2021-09-27,1.286,3.797,1.34,eastmoney
2021-09-28,1.28,3.791,-0.47,eastmoney
2021-09-29,1.268,3.779,-0.94,eastmoney
2021-09-30,1.285,3.796,1.34,eastmoney
2021-10-08,1.281,3.792,-0.31,eastmoney
2021-10-11,1.266,3.777,-1.17,eastmoney
2021-10-12,1.26,3.771,-0.47,eastmoney
2021-10-13,1.285,3.796,1.98,eastmoney
2021-10-14,1.269,3.78,-1.25,eastmoney
2021-10-15,1.266,3.777,-0.24,eastmoney
2021-10-18,1.244,3.755,-1.74,eastmoney
2021-10-19,1.263,3.774,1.53,eastmoney
2021-10-20,1.254,3.765,-0.71,eastmoney
2021-10-21,1.255,3.766,0.08,eastmoney
2021-10-22,1.263,3.774,0.64,eastmoney
2021-10-25,1.266,3.777,0.24,eastmoney
2021-10-26,1.26,3.771,-0.47,eastmoney
2021-10-27,1.243,3.754,-1.35,eastmoney
2021-10-28,1.234,3.745,-0.72,eastmoney
2021-10-29,1.251,3.762,1.38,eastmoney
2021-11-01,1.238,3.749,-1.04,eastmoney
2021-11-02,1.231,3.742,-0.57,eastmoney
2021-11-03,1.228,3.739,-0.24,eastmoney
2021-11-04,1.235,3.746,0.57,eastmoney
2021-11-05,1.233,3.744,-0.16,eastmoney
2021-11-08,1.221,3.732,-0.97,eastmoney
2021-11-09,1.229,3.74,0.66,eastmoney
2021-11-10,1.226,3.737,-0.24,eastmoney
2021-11-11,1.237,3.748,0.9,eastmoney
2021-11-12,1.234,3.745,-0.24,eastmoney
2021-11-15,1.245,3.756,0.89,eastmoney
2021-11-16,1.267,3.778,1.77,eastmoney
2021-11-17,1.268,3.779,0.08,eastmoney
2021-11-18,1.253,3.764,-1.18,eastmoney
2021-11-19,1.259,3.77,0.48,eastmoney
2021-11-22,1.261,3.772,0.16,eastmoney
2021-11-23,1.263,3.774,0.16,eastmoney
2021-11-24,1.281,3.792,1.43,eastmoney
2021-11-25,1.275,3.786,-0.47,eastmoney
2021-11-26,1.276,3.787,0.08,eastmoney
2021-11-29,1.279,3.79,0.24,eastmoney
2021-11-30,1.27,3.781,-0.7,eastmoney
2021-12-01,1.262,3.773,-0.63,eastmoney
2021-12-02,1.257,3.768,-0.4,eastmoney
2021-12-03,1.266,3.777,0.72,eastmoney
2021-12-06,1.257,3.768,-0.71,eastmoney
2021-12-07,1.262,3.773,0.4,eastmoney
2021-12-08,1.284,3.795,1.74,eastmoney
2021-12-09,1.304,3.815,1.56,eastmoney
2021-12-10,1.298,3.809,-0.46,eastmoney
2021-12-13,1.295,3.806,-0.23,eastmoney
2021-12-14,1.291,3.802,-0.31,eastmoney
2021-12-15,1.272,3.783,-1.47,eastmoney
2021-12-16,1.273,3.784,0.08,eastmoney
2021-12-17,1.208,3.769,-1.18,eastmoney
2021-12-20,1.189,3.75,-1.57,eastmoney
2021-12-21,1.197,3.758,0.67,eastmoney
2021-12-22,1.204,3.765,0.58,eastmoney
2021-12-23,1.206,3.767,0.17,eastmoney
2021-12-24,1.205,3.766,-0.08,eastmoney
2021-12-27,1.207,3.768,0.17,eastmoney
2021-12-28,1.217,3.778,0.83,eastmoney
2021-12-29,1.205,3.766,-0.99,eastmoney
2021-12-30,1.212,3.773,0.58,eastmoney
2021-12-31,1.209,3.77,-0.25,eastmoney
2022-01-04,1.185,3.746,-1.99,eastmoney
2022-01-05,1.158,3.719,-2.28,eastmoney
2022-01-06,1.148,3.709,-0.86,eastmoney
2022-01-07,1.135,3.696,-1.13,eastmoney
2022-01-10,1.136,3.697,0.09,eastmoney
2022-01-11,1.121,3.682,-1.32,eastmoney
2022-01-12,1.138,3.699,1.52,eastmoney
2022-01-13,1.123,3.684,-1.32,eastmoney
2022-01-14,1.123,3.684,0.0,eastmoney
2022-01-17,1.135,3.696,1.07,eastmoney
2022-01-18,1.138,3.699,0.26,eastmoney
2022-01-19,1.117,3.678,-1.85,eastmoney
2022-01-20,1.101,3.662,-1.43,eastmoney
2022-01-21,1.084,3.645,-1.54,eastmoney
2022-01-24,1.093,3.654,0.83,eastmoney
2022-01-25,1.078,3.639,-1.37,eastmoney
2022-01-26,1.072,3.633,-0.56,eastmoney
2022-01-27,1.056,3.617,-1.49,eastmoney
2022-01-28,1.052,3.613,-0.38,eastmoney
2022-02-07,1.053,3.614,0.1,eastmoney
2022-02-08,1.043,3.604,-0.95,eastmoney
2022-02-09,1.054,3.615,1.05,eastmoney
2022-02-10,1.048,3.609,-0.57,eastmoney
2022-02-11,1.031,3.592,-1.62,eastmoney
2022-02-14,1.032,3.593,0.1,eastmoney
2022-02-15,1.051,3.612,1.84,eastmoney
2022-02-16,1.047,3.608,-0.38,eastmoney
2022-02-17,1.051,3.612,0.38,eastmoney
2022-02-18,1.048,3.609,-0.29,eastmoney
2022-02-21,1.048,3.609,0.0,eastmoney
2022-02-22,1.035,3.596,-1.24,eastmoney
2022-02-23,1.055,3.616,1.93,eastmoney
2022-02-24,1.056,3.617,0.09,eastmoney
2022-02-25,1.066,3.627,0.95,eastmoney
2022-02-28,1.07,3.631,0.38,eastmoney
2022-03-01,1.079,3.64,0.84,eastmoney
2022-03-02,1.072,3.633,-0.65,eastmoney
2022-03-03,1.058,3.619,-1.31,eastmoney
2022-03-04,1.052,3.613,-0.57,eastmoney
2022-03-07,1.034,3.595,-1.71,eastmoney
2022-03-08,1.008,3.569,-2.51,eastmoney
2022-03-09,0.999,3.56,-0.89,eastmoney
2022-03-10,1.019,3.58,2.0,eastmoney
2022-03-11,1.026,3.587,0.69,eastmoney
2022-03-14,1.016,3.577,-0.97,eastmoney
2022-03-15,0.986,3.547,-2.95,eastmoney
2022-03-16,1.01,3.571,2.43,eastmoney
2022-03-17,1.025,3.586,1.49,eastmoney
2022-03-18,1.022,3.583,-0.29,eastmoney
2022-03-21,1.033,3.594,1.08,eastmoney
2022-03-22,1.027,3.588,-0.58,eastmoney
2022-03-23,1.043,3.604,1.56,eastmoney
2022-03-24,1.045,3.606,0.19,eastmoney
2022-03-25,1.031,3.592,-1.34,eastmoney
2022-03-28,1.025,3.586,-0.58,eastmoney
2022-03-29,1.028,3.589,0.29,eastmoney
2022-03-30,1.039,3.6,1.07,eastmoney
2022-03-31,1.026,3.587,-1.25,eastmoney
2022-04-01,1.024,3.585,-0.19,eastmoney
