date,nav,source,daily_growth_pct,acc_nav
2019-02-28,1.2824,akshare_fund_open_fund_info_em,0.6989,1.3324
2019-03-01,1.2948,akshare_fund_open_fund_info_em,0.9669,1.3448
2019-03-04,1.3164,akshare_fund_open_fund_info_em,1.6682,1.3664
2019-03-05,1.3349,akshare_fund_open_fund_info_em,1.4053,1.3849
2019-03-06,1.3405,akshare_fund_open_fund_info_em,0.4195,1.3905
2019-03-07,1.3384,akshare_fund_open_fund_info_em,-0.1567,1.3884
2019-03-08,1.3273,akshare_fund_open_fund_info_em,-0.8293,1.3773
2019-03-11,1.3615,akshare_fund_open_fund_info_em,2.5767,1.4115
2019-03-12,1.3766,akshare_fund_open_fund_info_em,1.1091,1.4266
2019-03-13,1.3729,akshare_fund_open_fund_info_em,-0.2688,1.4229
2019-03-14,1.3626,akshare_fund_open_fund_info_em,-0.7502,1.4126
2019-03-15,1.3838,akshare_fund_open_fund_info_em,1.5558,1.4338
2019-03-18,1.4286,akshare_fund_open_fund_info_em,3.2375,1.4786
2019-03-19,1.4317,akshare_fund_open_fund_info_em,0.217,1.4817
2019-03-20,1.4201,akshare_fund_open_fund_info_em,-0.8102,1.4701
2019-03-21,1.4201,akshare_fund_open_fund_info_em,0.0,1.4701
2019-03-22,1.4213,akshare_fund_open_fund_info_em,0.0845,1.4713
2019-03-25,1.4087,akshare_fund_open_fund_info_em,-0.8865,1.4587
2019-03-26,1.3978,akshare_fund_open_fund_info_em,-0.7738,1.4478
2019-03-27,1.4197,akshare_fund_open_fund_info_em,1.5667,1.4697
2019-03-28,1.4171,akshare_fund_open_fund_info_em,-0.1831,1.4671
2019-03-29,1.4465,akshare_fund_open_fund_info_em,2.0747,1.4965
2019-04-01,1.4796,akshare_fund_open_fund_info_em,2.2883,1.5296
2019-04-02,1.4729,akshare_fund_open_fund_info_em,-0.4528,1.5229
2019-04-03,1.4785,akshare_fund_open_fund_info_em,0.3802,1.5285
2019-04-04,1.49,akshare_fund_open_fund_info_em,0.7778,1.54
2019-04-08,1.4808,akshare_fund_open_fund_info_em,-0.6174,1.5308
2019-04-09,1.4874,akshare_fund_open_fund_info_em,0.4457,1.5374
2019-04-10,1.4885,akshare_fund_open_fund_info_em,0.074,1.5385
2019-04-11,1.4664,akshare_fund_open_fund_info_em,-1.4847,1.5164
2019-04-12,1.4653,akshare_fund_open_fund_info_em,-0.075,1.5153
2019-04-15,1.4584,akshare_fund_open_fund_info_em,-0.4709,1.5084
2019-04-16,1.4737,akshare_fund_open_fund_info_em,1.0491,1.5237
2019-04-17,1.4855,akshare_fund_open_fund_info_em,0.8007,1.5355
2019-04-18,1.4889,akshare_fund_open_fund_info_em,0.2289,1.5389
2019-04-19,1.4924,akshare_fund_open_fund_info_em,0.2351,1.5424
2019-04-22,1.4812,akshare_fund_open_fund_info_em,-0.7505,1.5312
2019-04-23,1.4819,akshare_fund_open_fund_info_em,0.0473,1.5319
2019-04-24,1.4886,akshare_fund_open_fund_info_em,0.4521,1.5386
2019-04-25,1.4742,akshare_fund_open_fund_info_em,-0.9674,1.5242
2019-04-26,1.4629,akshare_fund_open_fund_info_em,-0.7665,1.5129
2019-04-29,1.4543,akshare_fund_open_fund_info_em,-0.5879,1.5043
2019-04-30,1.4553,akshare_fund_open_fund_info_em,0.0688,1.5053
2019-05-06,1.3831,akshare_fund_open_fund_info_em,-4.9612,1.4331
2019-05-07,1.4022,akshare_fund_open_fund_info_em,1.381,1.4522
2019-05-08,1.3863,akshare_fund_open_fund_info_em,-1.1339,1.4363
2019-05-09,1.3622,akshare_fund_open_fund_info_em,-1.7384,1.4122
2019-05-10,1.4199,akshare_fund_open_fund_info_em,4.2358,1.4699
2019-05-13,1.4045,akshare_fund_open_fund_info_em,-1.0846,1.4545
2019-05-14,1.3916,akshare_fund_open_fund_info_em,-0.9185,1.4416
2019-05-15,1.4279,akshare_fund_open_fund_info_em,2.6085,1.4779
2019-05-16,1.4489,akshare_fund_open_fund_info_em,1.4707,1.4989
