date,target_next,pred,residual,volatility_regime,feature_date,target_date,zero_baseline,rolling_mean_baseline,rolling_median_baseline,last_ret_baseline,abs_error,p_up,p_down,strong_signal
2026-04-01,-0.021355914150290256,0.007281426905332115,-0.02863734105562237,high_vol,2026-04-01,2026-04-02,0.0,0.005163265309704785,0.001991124880550088,0.046014149629547196,0.02863734105562237,0.5856560748018312,0.41434392519816876,False
2026-04-02,0.0384196778406618,0.0031118023747071944,0.03530787546595461,high_vol,2026-04-02,2026-04-03,0.0,0.005085085971356747,0.001991124880550088,-0.021355914150290256,0.03530787546595461,0.5880071336925144,0.41199286630748555,False
2026-04-03,-0.005554973273241726,0.0040296537577907895,-0.009584627031032515,high_vol,2026-04-03,2026-04-07,0.0,0.005386559810303419,0.002262298036557975,0.0384196778406618,0.009584627031032515,0.5845857062690778,0.4154142937309222,False
2026-04-07,0.0726180438448567,0.006096089920423141,0.06652195392443357,high_vol,2026-04-07,2026-04-08,0.0,0.005084220753868176,0.001991124880550088,-0.005554973273241726,0.06652195392443357,0.584809351815296,0.41519064818470397,False
2026-04-08,0.010661295077134758,0.012251258022242828,-0.0015899629451080702,high_vol,2026-04-08,2026-04-09,0.0,0.005496945667276433,0.002262298036557975,0.0726180438448567,0.0015899629451080702,0.5841975549542239,0.4158024450457761,False
2026-04-09,0.032570122988673234,0.007488714950049198,0.025081408038624034,high_vol,2026-04-09,2026-04-10,0.0,0.005494350665720596,0.002262298036557975,0.010661295077134758,0.025081408038624034,0.5887524831259852,0.41124751687401484,False
2026-04-10,0.013252671719787168,0.008410054147933561,0.004842617571853607,high_vol,2026-04-10,2026-04-13,0.0,0.005686801381864112,0.0024346037767756235,0.032570122988673234,0.004842617571853607,0.5875489113373492,0.4124510886626508,False
2026-04-13,0.021907306307352714,0.00627808745961561,0.015629218847737103,high_vol,2026-04-13,2026-04-14,0.0,0.005727156591059425,0.0024346037767756235,0.013252671719787168,0.015629218847737103,0.5837104511544036,0.41628954884559644,False
2026-04-14,-0.013799217968536781,0.007357654857965582,-0.021156872826502363,high_vol,2026-04-14,2026-04-15,0.0,0.005383554143946423,0.0024346037767756235,0.021907306307352714,0.021156872826502363,0.5830614557149365,0.4169385442850635,False
2026-04-15,0.0376201562896199,0.002095863182699926,0.03552429310691997,mid_vol,2026-04-15,2026-04-16,0.0,0.005370040302407568,0.0024346037767756235,-0.013799217968536781,0.03552429310691997,0.5846976309347254,0.4153023690652746,False
2026-04-16,0.054895252482616286,0.0034899265969143404,0.051405325885701944,mid_vol,2026-04-16,2026-04-17,0.0,0.005269142758683382,0.0024346037767756235,0.0376201562896199,0.051405325885701944,0.5832622622367137,0.41673773776328626,False
2026-04-17,0.008971443012383062,0.002485082007931431,0.006486361004451631,mid_vol,2026-04-17,2026-04-20,0.0,0.005605668882313126,0.002609410988420713,0.054895252482616286,0.006486361004451631,0.5819619014984326,0.41803809850156737,False
2026-04-20,-0.007827175954915555,0.0019630478235891065,-0.00979022377850466,mid_vol,2026-04-20,2026-04-21,0.0,0.005714317664243904,0.0027152704882663636,0.008971443012383062,0.00979022377850466,0.5857238484412025,0.4142761515587975,False
2026-04-21,0.039150099926370086,0.00161951156895807,0.03753058835741201,low_vol,2026-04-21,2026-04-22,0.0,0.005697315001601047,0.0027152704882663636,-0.007827175954915555,0.03753058835741201,0.5826064559031496,0.41739354409685037,False
2026-04-22,-0.025042513563851343,0.003511555644606247,-0.02855406920845759,low_vol,2026-04-22,2026-04-23,0.0,0.005897667867842103,0.0027152704882663636,0.039150099926370086,0.02855406920845759,0.5811876757510318,0.4188123242489682,False
2026-04-23,-0.030565418717166004,0.0026415566859985776,-0.033206975403164585,low_vol,2026-04-23,2026-04-24,0.0,0.005830754109327052,0.0027152704882663636,-0.025042513563851343,0.033206975403164585,0.5816400905479767,0.4183599094520233,False
2026-04-24,0.00201340844346376,0.002541991591203252,-0.0005285831477394921,mid_vol,2026-04-24,2026-04-27,0.0,0.0056525848238047766,0.0027152704882663636,-0.030565418717166004,0.0005285831477394921,0.5822713166505483,0.4177286833494517,False
2026-04-27,-0.028665483850281115,0.004069548307009245,-0.03273503215729036,mid_vol,2026-04-27,2026-04-28,0.0,0.005371262912313976,0.002609410988420713,0.00201340844346376,0.03273503215729036,0.5859838377963373,0.41401616220366266,False
2026-04-28,0.004181338028169002,0.002128059560825665,0.0020532784673433367,mid_vol,2026-04-28,2026-04-29,0.0,0.004869550291219249,0.0024346037767756235,-0.028665483850281115,0.0020532784673433367,0.5852189402379054,0.41478105976209456,False
2026-04-29,-0.00815253122945414,0.0034863100755458446,-0.011638841304999986,low_vol,2026-04-29,2026-04-30,0.0,0.004882907909876473,0.002609410988420713,0.004181338028169002,0.011638841304999986,0.5855653423064971,0.41443465769350285,False
2026-04-30,0.023244509258031787,0.0033773267585857337,0.019867182499446055,low_vol,2026-04-30,2026-05-06,0.0,0.004825364496983775,0.002609410988420713,-0.00815253122945414,0.019867182499446055,0.5846406798639348,0.41535932013606525,False
2026-05-06,0.045584107104297056,0.0014132557316911772,0.04417085137260588,low_vol,2026-05-06,2026-05-07,0.0,0.0050608016507851395,0.0027152704882663636,0.023244509258031787,0.04417085137260588,0.5792894022228694,0.4207105977771306,False
2026-05-07,0.024410896098800094,-0.0011787164289310446,0.025589612527731138,low_vol,2026-05-07,2026-05-08,0.0,0.005344391592580802,0.002791330519274049,0.045584107104297056,0.025589612527731138,0.5845410963647745,0.41545890363522553,False
2026-05-08,0.014495091022720175,-3.4345130664294784e-05,0.01452943615338447,low_vol,2026-05-08,2026-05-11,0.0,0.005465841601064876,0.002965858801037502,0.024410896098800094,0.01452943615338447,0.5822312024116101,0.4177687975883899,False
2026-05-11,0.019593815826079997,0.003974980896494635,0.015618834929585362,low_vol,2026-05-11,2026-05-12,0.0,0.005502349341604403,0.002965858801037502,0.014495091022720175,0.015618834929585362,0.5878391537661211,0.41216084623387894,False
2026-05-12,0.03714820300927735,0.0008941729230808886,0.03625403008619646,low_vol,2026-05-12,2026-05-13,0.0,0.005666201366732874,0.003138412975085103,0.019593815826079997,0.03625403008619646,0.5868936027139076,0.41310639728609244,False
2026-05-13,0.006238959672266731,0.000996819667837131,0.0052421400044296,low_vol,2026-05-13,2026-05-14,0.0,0.005798789381022244,0.003138412975085103,0.03714820300927735,0.0052421400044296,0.5845331779598779,0.4154668220401221,False
2026-05-14,-0.019646658947447104,0.0008991777590982475,-0.02054583670654535,low_vol,2026-05-14,2026-05-15,0.0,0.005638358203984109,0.003138412975085103,0.006238959672266731,0.02054583670654535,0.5849530630433215,0.4150469369566785,False
2026-05-15,-0.004171905360612516,0.003263008339014025,-0.00743491369962654,low_vol,2026-05-15,2026-05-18,0.0,0.0052529899533414895,0.002965858801037502,-0.019646658947447104,0.00743491369962654,0.581212893984445,0.418787106015555,False
2026-05-18,-0.01482544237207073,0.0019070158434177664,-0.016732458215488497,low_vol,2026-05-18,2026-05-19,0.0,0.004821752397444449,0.002791330519274049,-0.004171905360612516,0.016732458215488497,0.5816725295444763,0.41832747045552365,False
2026-05-19,0.010737864077669856,0.0030307885789295414,0.007707075498740315,low_vol,2026-05-19,2026-05-20,0.0,0.004936139448452136,0.002791330519274049,-0.01482544237207073,0.007707075498740315,0.582669487551888,0.41733051244811203,False
2026-05-20,-0.05071753789406952,0.0017002547373408633,-0.05241779263141038,low_vol,2026-05-20,2026-05-21,0.0,0.004885208598745104,0.002791330519274049,0.010737864077669856,0.05241779263141038,0.584735688023831,0.415264311976169,False
2026-05-21,0.05680691316050446,0.0024332230009934024,0.05437369015951105,low_vol,2026-05-21,2026-05-22,0.0,0.0043491202851392245,0.0027152704882663636,-0.05071753789406952,0.05437369015951105,0.584476600723747,0.41552339927625304,False
2026-05-22,0.04567215626196841,0.004121645042657689,0.04155051121931072,low_vol,2026-05-22,,0.0,0.004590592400679498,0.0027152704882663636,0.05680691316050446,0.04155051121931072,0.5812450075005932,0.41875499249940684,False
